"","AIC_mar1_sim1","AIC_mar2_sim1","AIC_mar1_sim2","AIC_mar2_sim2","AICc_mar1_sim1","AICc_mar2_sim1","AICc_mar1_sim2","AICc_mar2_sim2","BIC_mar1_sim1","BIC_mar2_sim1","BIC_mar1_sim2","BIC_mar2_sim2"
"114","106.52","109.43","117.93","107.20","107.89","111.30","119.31","109.07","115.7","120.12","127.09","117.89"
"115","134.99","136.53","115.45","103.60","136.37","138.39","116.83","105.47","144.2","147.21","124.61","114.28"
"116","148.35","149.04","138.38","132.99","149.73","150.90","139.76","134.86","157.5","159.72","147.54","143.68"
"117","145.95","152.45","140.43","113.89","147.33","154.32","141.80","115.76","155.1","163.14","149.58","124.58"
"118","155.49","154.03","135.75","120.34","156.87","155.89","137.12","122.21","164.7","164.71","144.90","131.03"
"119","138.78","140.21","147.32","131.38","140.16","142.07","148.70","133.24","147.9","150.89","156.48","142.06"
"120","132.88","134.50","141.51","126.05","134.26","136.36","142.89","127.91","142.0","145.18","150.67","136.73"
"121","126.99","123.95","128.55","112.54","128.37","125.82","129.93","114.41","136.1","134.64","137.71","123.23"
"122","128.05","135.82","120.48"," 93.48","129.42","137.69","121.86"," 95.35","137.2","146.50","129.64","104.16"
"123","129.79","138.86","168.45","138.95","131.16","140.73","169.83","140.81","138.9","149.55","177.61","149.63"
"124","139.50","135.48","144.53","126.56","140.88","137.35","145.91","128.43","148.7","146.17","153.69","137.24"
"125","122.45","120.84","136.50","118.89","123.83","122.71","137.88","120.76","131.6","131.53","145.66","129.58"
"126","149.69","154.93","125.62","116.76","151.07","156.79","127.00","118.63","158.8","165.61","134.78","127.45"
"127","119.98","126.91","173.43","139.02","121.36","128.77","174.81","140.88","129.1","137.59","182.59","149.70"
"128","132.80","124.62","155.14","119.32","134.17","126.48","156.52","121.19","142.0","135.30","164.30","130.01"
"129","123.93","130.21","126.28","120.86","125.30","132.08","127.66","122.72","133.1","140.89","135.44","131.54"
"130","113.20","116.08","131.79","119.64","114.57","117.94","133.17","121.50","122.4","126.76","140.95","130.32"
"131","127.72","133.58","138.83","123.69","129.09","135.45","140.21","125.56","136.9","144.27","147.99","134.38"
"132","140.24","129.95","138.78","119.14","141.61","131.81","140.16","121.00","149.4","140.63","147.94","129.82"
"133","171.03","163.48","139.37","127.04","172.41","165.35","140.75","128.90","180.2","174.17","148.53","137.72"
"134","131.79","126.13","129.32","100.01","133.17","128.00","130.70","101.88","141.0","136.82","138.48","110.70"
"135","129.36","129.95","110.11","105.35","130.74","131.81","111.49","107.21","138.5","140.63","119.27","116.03"
"136","126.05","121.82","155.56","140.07","127.43","123.69","156.93","141.93","135.2","132.51","164.72","150.75"
"137","139.06","136.01","129.50","121.07","140.44","137.87","130.88","122.94","148.2","146.69","138.66","131.75"
"138","120.81","126.69","114.21"," 89.10","122.18","128.56","115.59"," 90.96","130.0","137.37","123.37"," 99.78"
"139","142.48","142.35","127.31","123.58","143.85","144.22","128.68","125.45","151.6","153.04","136.46","134.27"
"140","140.18","146.98","147.25","141.69","141.56","148.85","148.63","143.55","149.3","157.67","156.41","152.37"
"141","135.07","139.04","137.12","123.92","136.45","140.91","138.50","125.79","144.2","149.73","146.28","134.61"
"142","149.43","155.11","153.14","130.35","150.81","156.98","154.52","132.22","158.6","165.80","162.30","141.04"
"143","127.67","122.89","138.52","129.63","129.04","124.75","139.90","131.49","136.8","133.57","147.68","140.31"
"144","106.27","106.22","118.78","102.60","107.65","108.08","120.16","104.47","115.4","116.90","127.94","113.29"
"145","136.66","132.37","157.83","128.92","138.04","134.24","159.21","130.79","145.8","143.05","166.99","139.60"
"146","142.64","152.58","149.43","115.95","144.02","154.44","150.81","117.82","151.8","163.26","158.59","126.63"
"147","129.30","135.22","140.38","129.66","130.68","137.09","141.76","131.53","138.5","145.90","149.54","140.34"
"148","143.46","147.48","133.62","118.17","144.84","149.35","135.00","120.04","152.6","158.17","142.78","128.86"
"149","149.82","149.60","151.37","133.53","151.20","151.47","152.75","135.39","159.0","160.29","160.53","144.21"
"150","126.31","126.00","131.22","125.27","127.69","127.87","132.59","127.13","135.5","136.69","140.37","135.95"
"151","148.36","148.29","163.91","151.17","149.74","150.16","165.29","153.04","157.5","158.97","173.07","161.86"
"152","133.97","134.37","131.98","111.14","135.34","136.24","133.36","113.00","143.1","145.06","141.14","121.82"
"153","105.75"," 98.34","117.97","114.65","107.13","100.20","119.35","116.51","114.9","109.02","127.13","125.33"
"154","126.06","128.98","149.01","136.55","127.44","130.85","150.39","138.42","135.2","139.67","158.17","147.23"
"155","122.13","117.15","149.16","119.07","123.50","119.01","150.54","120.93","131.3","127.83","158.32","129.75"
"156","140.02","139.86","139.67","102.41","141.39","141.72","141.05","104.28","149.2","150.54","148.83","113.10"
"157","160.62","158.50","126.47","113.13","162.00","160.36","127.85","115.00","169.8","169.18","135.63","123.82"
"158","124.53","129.18","112.39","102.45","125.91","131.04","113.77","104.31","133.7","139.86","121.55","113.13"
"159","141.89","136.04","149.29","136.74","143.27","137.91","150.67","138.61","151.0","146.73","158.45","147.43"
"160","131.69","130.03","117.44","110.15","133.06","131.90","118.81","112.01","140.8","140.71","126.59","120.83"
"161","150.53","146.72","144.55","141.80","151.91","148.59","145.93","143.67","159.7","157.41","153.71","152.49"
"162","104.78"," 96.96","126.58","127.96","106.16"," 98.83","127.96","129.83","113.9","107.65","135.74","138.65"
"163","141.50","154.14","120.94","108.34","142.88","156.00","122.32","110.20","150.7","164.82","130.10","119.02"
"164","124.43","119.21","134.68","120.94","125.81","121.08","136.06","122.81","133.6","129.90","143.84","131.63"
"165","138.29","136.06","129.78","106.90","139.67","137.93","131.16","108.77","147.5","146.75","138.94","117.59"
"166","146.91","143.85","138.61","135.41","148.28","145.71","139.99","137.27","156.1","154.53","147.77","146.09"
"167","140.64","136.05","137.21","134.99","142.02","137.92","138.58","136.85","149.8","146.74","146.36","145.67"
"168","150.30","155.36","150.51","129.46","151.68","157.23","151.89","131.33","159.5","166.05","159.67","140.14"
"169","137.04","135.80","143.83","125.47","138.41","137.67","145.21","127.34","146.2","146.48","152.99","136.15"
"170","109.72","102.85","107.98"," 94.83","111.10","104.72","109.36"," 96.69","118.9","113.54","117.14","105.51"
"171","128.21","124.64","136.58","119.81","129.59","126.51","137.95","121.68","137.4","135.33","145.73","130.49"
"172","138.19","137.19","132.80","112.43","139.56","139.06","134.18","114.29","147.3","147.88","141.96","123.11"
"173","145.16","145.62","127.51","117.00","146.54","147.49","128.88","118.87","154.3","156.30","136.67","127.68"
"174","138.11","135.58","130.43","122.08","139.49","137.44","131.81","123.95","147.3","146.26","139.59","132.77"
"175","136.54","131.80","129.60","114.32","137.92","133.67","130.98","116.19","145.7","142.48","138.76","125.00"
"176","127.88","110.30","154.12","133.94","129.26","112.16","155.50","135.80","137.0","120.98","163.28","144.62"
"177","150.52","146.00","132.85","124.46","151.90","147.86","134.22","126.32","159.7","156.68","142.00","135.14"
"178","133.87","138.52","143.55","130.71","135.24","140.39","144.93","132.57","143.0","149.20","152.71","141.39"
"179","123.53","115.82","134.32","124.73","124.90","117.69","135.70","126.60","132.7","126.51","143.48","135.42"
"180","132.10","123.27","123.10","108.71","133.48","125.14","124.48","110.58","141.3","133.96","132.26","119.40"
"181","137.82","137.33","151.50","120.82","139.20","139.19","152.87","122.69","147.0","148.01","160.65","131.50"
"182","140.48","145.60","146.28","140.01","141.86","147.46","147.66","141.87","149.6","156.28","155.44","150.69"
